,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
State Code,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males,Unemployed Males
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2,0,,0,0,0,0,,0,0,0,0,0,0.0,0.0,0
4,0,0,0,0,0,0,0,0,0,0,0,86,0.0,0.0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,69
6,187,329,623,584,581,602,682,77,1023,265,828,328,572.0,46.0,351
8,0,0,0,0,142,0,0,0,0,0,0,98,0.0,0.0,0
9,498,70,78,186,69,165,162,0,535,260,58,776,514.0,371.0,283
10,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0,0
11,0,0,0,167,0,0,0,0,0,0,0,0,0.0,35.0,0
12,699,928,752,943,1632,1734,1288,1673,819,914,581,1186,1578.0,1268.0,856
13,396,136,0,61,14,220,109,491,135,0,30,53,77.0,169.0,300
15,65,0,68,46,0,0,0,0,0,0,0,0,0.0,0.0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,37
17,266,198,198,0,0,87,85,89,0,0,0,128,0.0,85.0,0
18,0,0,0,0,0,0,0,0,61,0,92,0,0.0,0.0,0
19,0,379,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
21,0,0,0,0,0,206,0,0,0,0,0,0,349.0,0.0,0
22,0,0,0,0,0,0,0,308,75,445,0,0,106.0,307.0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0
24,0,84,65,108,84,0,301,78,0,277,122,0,0.0,0.0,101
25,2616,1376,1200,1171,3005,2473,1849,1513,379,830,479,1213,923.0,2042.0,611
26,0,235,0,0,0,0,0,118,130,0,0,0,0.0,0.0,0
27,0,0,0,0,67,0,0,0,0,0,0,0,0.0,0.0,0
28,0,0,0,0,0,0,152,0,,35,0,0,0.0,0.0,0
29,0,92,0,0,0,81,48,0,0,0,0,0,0.0,105.0,0
30,0,0,0,0,0,0,0,,0,,,0,0.0,0.0,0
32,0,0,0,0,0,322,0,64,0,0,0,76,0.0,0.0,0
33,0,0,0,103,0,0,0,0,0,0,305,0,0.0,0.0,151
34,626,1058,1363,437,900,1435,990,704,243,615,949,225,139.0,72.0,626
35,0,0,0,0,0,0,0,0,0,0,0,127,0.0,0.0,0
36,301,396,306,550,226,193,590,503,312,82,226,317,73.0,172.0,131
37,0,100,175,0,0,153,283,0,0,65,0,132,161.0,74.0,0
39,0,0,0,0,106,0,0,0,136,0,192,0,0.0,0.0,0
40,0,0,0,0,0,0,74,0,0,0,0,0,0.0,0.0,0
41,0,0,0,0,0,0,0,0,0,121,92,0,0.0,0.0,0
42,0,0,0,0,903,122,0,301,346,275,0,69,81.0,186.0,421
44,110,0,0,0,0,0,324,0,103,0,0,0,0.0,0.0,0
45,0,0,0,0,318,520,0,0,214,0,0,0,0.0,0.0,0
47,0,0,0,0,0,0,0,45,0,0,0,136,0.0,58.0,0
48,344,275,145,519,162,258,191,86,316,0,262,150,0.0,198.0,89
49,0,0,0,0,0,82,0,0,0,0,136,153,0.0,0.0,0
51,0,69,0,0,0,0,0,0,382,0,102,68,0.0,0.0,0
53,0,0,0,0,191,0,298,330,149,0,0,0,0.0,149.0,0
55,0,0,0,0,0,111,0,0,78,0,0,0,0.0,0.0,0
31,,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0
46,,0,,0,0,,0,0,,0,,,,,
50,,0,,193,0,0,0,0,0,,0,0,0.0,0.0,0
54,,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0
38,,,0,,,,,0,0,0,0,0,0.0,,
56,,,0,,,,,0,0,0,,0,0.0,,
