,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
State Code,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females,Unemployed Females
1,0,0,0,0,62,65,364,0,291,213,0,0,0.0,0.0,0
2,0,,0,0,0,0,,0,0,0,0,0,0.0,0.0,0
4,0,0,147,0,0,79,0,198,157,0,0,418,0.0,348.0,145
5,0,0,0,72,0,0,0,0,0,0,0,0,167.0,0.0,0
6,956,141,407,656,2293,994,1205,1047,953,883,486,906,437.0,435.0,929
8,0,0,0,0,0,77,0,0,0,0,0,0,0.0,90.0,0
9,0,48,269,265,183,1213,138,0,65,451,271,447,0.0,395.0,189
10,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0,0
11,0,0,0,0,0,0,0,0,0,0,0,310,0.0,79.0,0
12,1013,1434,1394,454,1948,2691,2835,1148,1733,1427,1102,1563,2847.0,1824.0,1285
13,209,110,0,72,181,161,100,373,95,14,145,194,210.0,0.0,430
15,79,0,0,0,0,0,0,0,0,52,61,0,0.0,0.0,0
16,0,0,0,199,0,91,0,0,0,0,0,0,0.0,0.0,0
17,0,0,105,96,92,178,93,337,93,0,163,68,103.0,0.0,420
18,0,0,121,0,128,0,0,0,0,0,0,0,0.0,0.0,0
19,0,0,0,85,0,0,0,0,0,0,0,0,0.0,0.0,0
20,0,0,0,0,349,0,0,0,106,0,0,0,0.0,0.0,0
21,0,0,0,0,23,0,0,0,0,0,0,0,0.0,0.0,0
22,0,0,0,0,0,230,0,0,0,0,0,27,56.0,0.0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,201.0,,0
24,64,0,0,0,0,266,0,68,0,123,759,131,98.0,77.0,517
25,1757,1066,784,1512,1002,2104,2422,1812,2699,1427,1527,1024,2414.0,1243.0,263
26,79,192,291,67,0,0,0,108,0,0,37,0,95.0,86.0,0
27,0,0,0,0,392,40,0,192,102,0,0,0,0.0,0.0,209
28,0,0,0,0,0,0,0,0,,0,0,0,0.0,134.0,0
29,0,122,114,0,77,128,0,0,0,0,0,0,0.0,107.0,0
30,0,0,0,0,0,0,0,,0,,,0,0.0,0.0,0
32,77,0,0,0,202,0,0,92,78,0,63,267,157.0,0.0,0
33,0,0,0,0,108,52,0,0,0,0,0,0,0.0,72.0,112
34,335,1068,194,367,350,1667,1054,960,1442,835,495,361,1260.0,622.0,852
35,0,0,0,370,0,0,0,0,0,0,0,80,0.0,0.0,0
36,362,335,425,375,386,419,787,452,583,565,122,687,349.0,461.0,337
37,92,0,0,0,0,0,88,141,0,55,0,218,394.0,252.0,52
39,63,109,119,0,178,0,0,0,389,0,54,0,0.0,0.0,0
40,0,0,0,0,0,0,0,50,0,0,0,0,0.0,0.0,0
41,0,0,0,115,190,0,0,0,270,0,0,0,88.0,0.0,0
42,0,0,362,0,0,301,187,0,103,42,97,484,0.0,838.0,317
44,0,0,0,351,0,71,158,0,0,0,0,192,51.0,0.0,277
45,164,0,0,0,0,0,67,14,0,83,135,0,164.0,0.0,125
47,0,0,0,0,0,0,0,0,0,124,0,0,89.0,100.0,0
48,0,154,228,163,456,464,334,174,453,705,494,516,383.0,965.0,445
49,0,152,0,0,0,0,0,0,306,0,0,90,208.0,0.0,77
51,666,0,0,0,93,0,537,24,81,88,142,133,180.0,83.0,0
53,0,0,0,0,118,36,222,224,76,0,562,129,183.0,0.0,0
55,0,0,0,0,50,0,85,0,0,0,61,0,128.0,0.0,0
31,,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0
46,,0,,0,0,,0,0,,0,,,,,
50,,0,,0,42,0,0,0,0,,0,0,0.0,0.0,0
54,,91,0,,0,0,0,0,0,0,0,0,0.0,0.0,0
38,,,0,,,,,0,0,0,0,0,0.0,,
56,,,0,,,,,0,0,0,,0,0.0,,
