,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
State Code,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force,Males In Civilian Labor Force
1,745,339,298,94,148,581,634,0,73,282,238,0,526.0,147.0,425
2,88,,35,138,48,0,,0,235,0,0,0,73.0,187.0,158
4,259,473,543,364,217,500,246,921,420,348,280,813,641.0,733.0,1227
5,491,139,57,0,0,346,165,0,0,177,95,0,581.0,245.0,211
6,6047,10072,11981,8986,8012,10170,9947,11622,13787,10213,13047,14854,16746.0,14511.0,16172
8,489,436,589,642,1142,996,480,1040,638,473,922,666,872.0,983.0,613
9,6474,8859,7868,6001,6573,7750,4498,5390,7109,6805,6645,9761,6450.0,8943.0,8868
10,0,220,326,,,254,562,115,0,0,190,212,104.0,194.0,121
11,226,170,472,402,97,190,442,369,201,471,447,327,688.0,415.0,471
12,20492,25079,28851,23323,25872,23478,25118,20695,21872,19689,25464,23427,35392.0,35209.0,33294
13,6090,6410,5779,5023,5490,4591,2795,4356,2699,2500,4068,3575,4528.0,4761.0,5954
15,421,112,68,187,239,244,44,102,417,26,262,591,111.0,419.0,63
16,0,0,116,0,210,0,0,368,0,44,0,154,274.0,91.0,156
17,702,1576,1359,2416,1481,1073,955,2178,731,1291,1774,1697,1759.0,1481.0,1619
18,83,683,714,1030,464,177,133,490,687,346,1283,316,445.0,899.0,664
19,99,649,0,235,189,0,0,896,59,281,41,0,428.0,417.0,0
20,120,27,138,0,251,66,422,91,528,0,275,277,490.0,765.0,1171
21,0,77,481,304,874,348,212,72,195,0,213,243,1111.0,438.0,325
22,211,16,3038,879,2049,1140,254,1413,865,2469,395,245,656.0,1827.0,637
23,1090,242,0,0,0,139,129,0,134,0,0,324,899.0,,300
24,1944,1558,1683,1534,3033,2815,3907,2501,2111,1627,3003,3010,2279.0,3379.0,1536
25,40697,36684,34588,32450,34676,32301,27944,22393,28363,22450,26599,28739,33995.0,33072.0,40519
26,595,732,842,960,475,910,851,930,557,2089,995,1986,2412.0,1207.0,1996
27,126,366,466,865,342,359,1708,341,282,1360,546,214,1247.0,735.0,917
28,61,0,395,0,0,129,152,0,,35,116,450,71.0,0.0,0
29,380,181,440,175,265,489,1059,100,346,397,703,824,1929.0,1360.0,417
30,146,248,0,693,50,0,72,,194,,,0,0.0,0.0,0
32,119,387,831,713,465,403,541,355,124,2066,926,564,1746.0,569.0,972
33,1293,1553,116,1553,2382,426,1033,741,840,1536,1031,825,293.0,322.0,2186
34,14882,16868,16691,12340,12818,13229,11841,9905,10299,12705,9892,10927,11439.0,12954.0,16752
35,0,264,0,110,274,72,0,348,0,448,71,602,96.0,329.0,0
36,10748,8093,7727,9470,10355,8436,7939,7478,10415,6287,6647,9186,7881.0,9119.0,9782
37,0,1222,1238,1380,1342,1328,1131,1416,1124,2464,1508,2153,1658.0,2034.0,2191
39,1240,525,230,533,839,676,300,902,856,2476,1609,948,853.0,969.0,2203
40,1078,265,124,191,85,243,299,52,204,0,0,446,623.0,913.0,0
41,326,646,552,744,94,280,200,347,1027,436,884,1233,599.0,514.0,998
42,3107,2398,3631,3016,3948,3812,4669,4130,1866,5453,1513,4605,3760.0,3850.0,4451
44,748,1331,143,72,66,632,2060,0,782,298,194,512,361.0,658.0,664
45,1400,577,552,1146,1335,1065,694,1823,1868,1162,1068,1266,1448.0,1295.0,1851
47,459,203,213,293,359,259,373,218,148,586,56,664,433.0,402.0,1198
48,3582,2656,2902,3667,7408,4957,3791,3270,3898,4738,6362,5690,5142.0,6522.0,6057
49,1243,1030,706,1236,566,1660,255,771,966,602,1177,2037,1238.0,1392.0,2013
51,1845,3108,1149,918,2215,1223,1507,840,2241,1209,2615,976,1328.0,1757.0,1504
53,371,785,598,1219,2083,676,1137,1648,2464,1049,899,881,2106.0,1936.0,2575
55,162,19,0,0,154,545,55,346,408,8,31,474,330.0,924.0,461
31,,101,115,,266,0,55,129,0,0,0,0,0.0,692.0,280
46,,48,,132,0,,0,0,,96,,,,,
50,,0,,193,0,0,273,0,0,,0,0,130.0,0.0,0
54,,0,95,,68,0,0,163,136,0,0,96,0.0,203.0,0
38,,,0,,,,,90,668,65,0,0,0.0,,
56,,,55,,,,,54,0,0,,75,184.0,,
