,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
State Code,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force,Females In Civilian Labor Force
1,508,62,66,0,120,1435,607,0,409,213,202,0,423.0,928.0,251
2,0,,0,0,88,99,,0,43,123,0,0,0.0,153.0,89
4,272,360,398,634,513,655,703,1036,729,1157,415,1260,761.0,1210.0,1772
5,254,0,0,155,0,182,0,124,90,179,0,72,266.0,71.0,0
6,8856,10502,9628,10998,10625,11164,10981,13534,10978,12057,11364,14394,16406.0,15704.0,14650
8,550,557,336,563,935,315,578,1255,766,340,794,705,485.0,688.0,1398
9,4598,4454,5710,5017,5008,6435,4428,6757,5069,3556,5216,6385,5887.0,7322.0,7248
10,186,392,119,,,356,65,214,0,67,461,0,126.0,514.0,45
11,129,152,500,73,665,440,517,436,584,282,100,837,698.0,505.0,766
12,15304,21695,25048,24848,28117,26185,24600,21481,24291,21682,23318,28554,35447.0,31537.0,30447
13,3575,3741,4261,4312,4555,3532,3889,2569,2840,2610,5042,5005,4398.0,4785.0,4591
15,174,256,283,269,369,690,243,636,196,440,909,297,929.0,146.0,512
16,0,70,127,199,0,318,0,71,0,0,80,0,111.0,0.0,50
17,1468,1556,1500,1871,953,1394,1653,1391,1399,1302,1845,1681,3414.0,2636.0,2866
18,788,196,526,335,289,217,836,646,249,238,298,727,282.0,690.0,386
19,123,834,0,291,160,216,62,238,378,0,224,75,812.0,464.0,46
20,153,163,124,63,653,299,0,88,285,299,203,554,99.0,1057.0,1073
21,63,187,505,408,159,414,151,0,80,135,246,278,174.0,41.0,758
22,141,93,322,819,442,913,21,38,377,637,748,682,676.0,601.0,282
23,927,0,139,0,228,405,76,0,229,180,0,144,397.0,,75
24,2843,2581,2188,1654,2649,2392,3411,2501,1913,2432,3829,3544,3653.0,3831.0,2312
25,29590,23790,17870,23449,23482,26732,23087,22277,22754,22482,21735,26558,26872.0,27458.0,26475
26,976,1227,798,320,833,1207,556,1427,902,717,2034,999,1194.0,1496.0,1757
27,119,667,790,272,886,1177,732,349,366,424,161,201,1433.0,1474.0,986
28,0,0,0,0,45,0,120,120,,361,84,0,269.0,438.0,17
29,236,251,280,246,210,760,1025,292,285,810,621,220,567.0,556.0,456
30,0,0,0,0,0,266,0,,0,,,0,244.0,150.0,178
32,567,255,1252,723,664,315,557,1121,192,1239,1319,695,565.0,1280.0,1980
33,1038,525,1014,1540,1227,129,938,791,539,594,411,942,506.0,900.0,781
34,7346,12771,11145,11254,13102,11228,10971,8386,11679,9385,8555,8354,10215.0,13424.0,12952
35,0,243,150,370,47,256,105,0,435,533,202,458,197.0,390.0,74
36,7293,7119,8607,10716,8793,6276,9396,11335,10380,8349,6574,8906,8307.0,9007.0,8713
37,822,1066,501,2057,2309,1206,1617,2428,940,706,1487,2582,3856.0,1990.0,2268
39,771,285,769,1401,934,409,272,557,1106,842,1629,393,1221.0,1185.0,1821
40,1205,0,157,506,0,227,361,255,39,724,126,503,481.0,147.0,621
41,165,594,324,584,391,0,324,316,647,262,494,945,855.0,774.0,540
42,1714,1364,1427,1609,2863,1318,3182,3775,1942,4248,2620,3400,4059.0,4342.0,3145
44,395,583,901,906,587,555,596,267,656,355,253,643,535.0,861.0,1321
45,164,706,644,929,641,839,435,234,913,562,1342,903,984.0,676.0,2159
47,252,328,213,874,85,473,331,247,342,637,209,238,434.0,1202.0,356
48,921,3428,2872,3180,4192,4097,4762,4395,5337,3270,5843,5148,7090.0,6287.0,6026
49,532,1104,1075,1065,1053,1394,637,2188,1011,712,1019,1795,2413.0,2038.0,2021
51,2124,2082,1505,1574,2341,1224,3772,1521,1775,1492,2673,2470,2695.0,3585.0,2799
53,1207,448,503,1014,1139,1508,1196,711,1341,240,1148,1509,2707.0,2847.0,2199
55,41,249,68,725,168,626,364,131,178,431,248,141,593.0,298.0,137
31,,174,119,,429,107,408,132,279,137,65,209,44.0,982.0,320
46,,0,,20,49,,0,131,,0,,,,,
50,,0,,40,42,0,376,242,52,,0,59,45.0,44.0,0
54,,91,72,,212,0,219,0,80,83,43,264,0.0,0.0,0
38,,,0,,,,,119,0,391,67,54,13.0,,
56,,,0,,,,,45,20,0,,36,56.0,,
